"id","submitdate","lastpage","startlanguage","seed","G01Q01","G01Q02","G01Q03","G02Q04","G02Q05","G02Q05[other]","G02Q06","G02Q06[other]","G02Q07","G02Q07[other]","G02Q08","G02Q09","G03Q10","G03Q11","G03Q12","G03Q13[1]","G03Q13[2]","G03Q13[3]","G03Q13[4]","G03Q13[5]","G03Q13[6]","G03Q13[7]","G03Q13[8]","G03Q13[9]","G03Q13[10]","G03Q13[11]","G03Q14[1]","G03Q14[2]","G03Q14[3]","G03Q14[4]","G03Q14[5]","G03Q14[6]","G03Q14[7]","G03Q14[8]","G03Q14[9]","G03Q14[10]","G04Q15","G04Q16[1]","G04Q16[2]","G04Q16[3]","G04Q16[4]","G04Q16[5]","G04Q16[6]","G04Q16[7]","G04Q16[8]","G04Q16[9]","G04Q16[10]","G04Q16[11]","G04Q16[12]","G04Q16[13]","G04Q16[14]","G04Q16[15]","G04Q16[16]","G04Q16[17]","G04Q16[18]","G04Q16[19]","G04Q16[20]","G05Q17","G05Q18[1]","G05Q18[2]","G05Q18[3]","G05Q18[4]","G05Q18[5]","G05Q19[1]","G05Q19[2]","G05Q19[3]","G05Q19[4]","G05Q19[5]","G05Q19[6]"
"3","1980-01-01 00:00:00","5","en","297185304","1","1","1","23","2","","3","","2","","234","24","","2","3","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","","6","6","6","6","6","6","6","6","1","6","6","6","6","6","6","6","6","6","6","6","","5","5","5","5","5","5","5","5","5","5","5"
"4","1980-01-01 00:00:00","5","en","2117330883","1","2","2","18","1","","4","","1","","College","","","1","1","1","1","1","1","1","1","7","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","7","1","1","1","1","1","1","4","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1"
"5","1980-01-01 00:00:00","5","en","1627065553","1","1","1","25","1","","4","","3","","Computer Science (Webdevelopment)","Student Assistant, Webdevelopment","","5","5","5","5","7","3","6","6","7","6","6","7","6","7","6","7","6","6","7","7","6","7","7","","5","6","3","2","1","2","3","4","1","4","1","3","4","5","2","3","2","2","3","2","","6","6","3","4","5","4","2","1","3","2","2"
"6","1980-01-01 00:00:00","5","en","1539086817","1","1","1","21","1","","4","","3","","Tutoring","","","7","6","5","5","6","4","6","3","7","5","3","4","4","6","6","6","5","3","4","2","3","2","4","","6","5","6","2","4","3","5","6","1","3","2","5","4","5","3","3","3","2","3","2","","4","5","5","3","3","4","6","5","5","5","3"
"7","1980-01-01 00:00:00","5","en","1899964029","1","1","1","26","2","","4","","1","","Hapag Lloyd --> Business Administration ","Workstudent ","","5","3","1","3","4","3","2","2","7","2","2","4","3","3","3","3","2","4","5","2","2","6","6","","4","4","3","1","1","2","1","1","7","1","2","1","1","4","1","1","2","1","1","2","","3","3","2","1","1","1","2","2","2","3","3"
"8","1980-01-01 00:00:00","5","en","1197920819","1","1","1","30","1","","4","","3","","Software","","","7","6","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","","7","2","7","1","6","6","5","6","1","2","1","5","5","7","6","5","6","3","6","2","","6","7","7","7","6","4","5","4","4","3","6"
"9","1980-01-01 00:00:00","5","en","2057350567","1","1","1","28","1","","4","","3","","Softwaredeveloper ","Werkstudent ","","3","6","4","4","5","7","4","6","7","5","5","7","7","5","5","7","5","5","6","5","6","6","6","","6","1","4","1","1","1","6","2","1","2","2","5","6","6","3","4","4","4","4","4","","7","7","3","4","2","6","6","6","4","6","4"
"10","1980-01-01 00:00:00","5","en","1553396805","1","1","1","25","1","","4","","3","","Software Development","Working Student","","6","7","7","7","7","6","7","7","7","5","7","7","7","6","6","6","6","6","6","6","6","7","7","","6","5","6","2","4","1","3","6","1","2","1","2","1","6","5","2","5","1","2","1","","6","6","6","7","4","2","1","1","2","2","2"
"11","1980-01-01 00:00:00","5","en","1957113076","1","1","1","23","1","","4","","3","","AI Automations","We develop AI automation workflows using n8n for internal use cases, mostly for marketing. ","","7","7","7","7","7","7","7","7","7","7","7","7","7","6","7","7","7","7","7","7","7","7","7","","6","2","7","1","4","4","5","6","1","2","1","1","4","6","6","5","1","2","6","1","","6","7","7","7","7","6","6","6","6","6","6"
"12","1980-01-01 00:00:00","5","en","1499729217","1","1","2","25","1","","4","","3","","Physics ","To maintain the internal Wiki","","1","1","1","1","1","1","1","1","7","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","7","1","1","1","1","1","1","1","1","1","1","1","1","4","1","1","1","","1","1","1","1","1","1","1","1","1","1","1"
"13","1980-01-01 00:00:00","5","en","1507217803","1","2","1","23","1","","4","","3","","i dont work, fulltime informatik student","","","2","5","6","5","7","4","6","6","7","7","6","5","6","4","4","5","4","4","5","4","4","4","4","","1","1","1","1","1","3","1","2","1","1","1","1","3","2","1","1","2","1","1","1","","3","1","1","1","1","1","1","1","1","1","1"
"14","1980-01-01 00:00:00","5","en","506517502","1","1","1","33","1","","4","","4","","IT consulting company","Developer","","6","5","5","4","6","4","5","6","7","7","5","5","6","4","6","6","4","5","7","7","4","6","7","","5","3","5","3","1","1","4","5","1","2","1","2","1","5","4","1","3","2","1","1","","5","5","6","6","6","4","1","2","2","1","1"
"15","","2","en","1235368941","1","2","2","25","1","","4","","3","","-","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","1980-01-01 00:00:00","5","en","260795447","1","1","1","25","1","","4","","3","","IT","Low Code Platform Management","","6","6","7","5","7","7","7","7","7","7","7","7","7","6","5","6","5","6","5","6","5","5","6","","4","1","5","1","1","1","1","4","1","1","1","1","2","5","1","1","1","2","3","1","","7","7","6","6","5","2","2","1","1","1","2"
"17","1980-01-01 00:00:00","5","en","1704562193","1","1","1","27","2","","4","","3","","Process digitalisation and optimisation in finance","Project assistant","","5","4","5","5","7","4","6","6","7","7","5","5","7","4","5","5","5","5","5","5","5","5","5","","5","3","5","2","4","3","6","5","1","5","1","5","2","5","4","3","2","2","3","2","","5","7","4","5","4","3","3","2","2","3","5"
"18","1980-01-01 00:00:00","5","en","985897891","1","1","1","24","2","","4","","3","","Digitalisierung der Lehre uni Hamburg ","Vorlesungsaufzeichnungen lecture to go ","","6","2","3","5","6","5","6","6","7","2","2","6","5","7","7","7","7","7","7","7","7","7","7","","5","7","4","1","3","3","5","4","1","6","1","4","3","5","3","6","1","5","5","2","","6","6","6","6","6","7","7","6","6","6","7"
"19","1980-01-01 00:00:00","5","en","875627127","1","1","1","25","1","","4","","3","","Computer Science","Programmer","","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","","7","2","7","1","4","3","6","5","1","3","1","6","7","5","4","5","1","3","6","1","","7","7","7","7","7","7","7","7","7","7","7"
"20","1980-01-01 00:00:00","5","en","1541210378","1","1","1","27","1","","4","","3","","Tutor HCI","Tutor for UXD & ICG at Universität Hamburg","","6","5","5","3","7","5","6","4","7","6","5","2","6","6","5","6","3","5","5","6","5","4","6","","5","2","1","2","2","1","4","3","1","5","1","6","2","4","3","4","2","1","5","2","","7","6","5","5","4","2","3","4","2","3","4"
"21","","-1","en","492254535","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22","1980-01-01 00:00:00","5","en","93996994","1","1","1","23","1","","4","","3","","IT","IT Consulting ","","6","6","7","7","7","7","7","7","7","7","7","6","7","6","6","7","7","7","6","6","6","6","7","","5","4","3","5","4","2","4","3","1","3","4","4","4","5","4","4","4","4","4","4","","4","4","4","4","4","4","4","4","4","4","4"
