young_group,autonomous_use,upskill_orientation,reskill_orientation
1,5.0,5.0,5.0
1,1.0,1.0,1.0
1,4.8,4.8,2.3333333333333335
1,4.0,4.0,4.666666666666667
1,2.0,2.0,2.1666666666666665
1,6.6,6.6,4.333333333333333
1,4.6,4.6,5.333333333333333
1,5.8,5.8,1.6666666666666667
1,6.8,6.8,6.0
1,1.0,1.0,1.0
1,1.4,1.4,1.0
1,5.6,5.6,1.8333333333333333
1,6.2,6.2,1.5
1,5.0,5.0,3.0
1,6.0,6.0,6.5
1,7.0,7.0,7.0
1,5.4,5.4,3.0
1,4.0,4.0,4.0
0,6.2,6.2,7.0
0,5.6,5.6,4.166666666666667
0,5.2,5.2,6.0
0,5.8,5.8,5.666666666666667
0,5.6,5.6,2.5
0,5.4,5.4,2.0
0,7.0,7.0,6.833333333333333
0,4.8,4.8,2.6666666666666665
0,3.8,3.8,2.0
0,4.4,4.4,4.166666666666667
0,5.8,5.8,4.166666666666667
0,5.4,5.4,3.1666666666666665
0,4.0,4.0,5.5
0,6.0,6.0,6.166666666666667
0,5.4,5.4,5.333333333333333
0,5.0,5.0,4.5
0,4.0,4.0,4.0
0,6.8,6.8,4.5
0,4.2,4.2,2.0
0,3.6,3.6,3.6666666666666665
0,5.2,5.2,4.666666666666667
